D;V1;V2;V3;V4;Vavg;
11;2927,66;2927,66;2922,76;2917,89;2923,9925;
14;3030,3;3030,3;3030,3;3015,64;3026,635;
41;3040,08;3035,19;3035,19;3035,19;3036,4125;
17;3088,95;3103,62;3103,62;3093,84;3097,5075;3103,61625
17;3113,39;3113,39;3113,39;3098,73;3109,725;
20;3157,38;3176,93;3176,93;3176,93;3172,0425;3173,26625
20;3167,16;3181,82;3181,82;3167,16;3174,49;
23;3216,03;3230,69;3230,69;3230,69;3227,025;3227,025
23;3230,69;3230,69;3230,69;3216,03;3227,025;
26;3225,81;3240,47;3240,47;3225,81;3233,14;3233,75125
26;3225,81;3245,36;3225,81;3240,47;3234,3625;
29;3230,69;3245,36;3245,36;3245,36;3241,6925;
32;3230,69;3250,36;3245,36;3245,36;3242,9425;
